ID,Start time,Completion time,Last modified time,Do you agree with the terms and conditions?,Year Level,Institute,Degree Program - IABF - Manila,Degree Program - IARFA,Degree Program - IAS,Degree Program - IE,Degree Program - IHSN,Degree Program - ITHM,Degree Program - FEU Makati,Are you currently a working student?,Are you currently taking Wellness and Recreation Program (WRP) this 1st Semester?,What is your WRP curriculum?,Were you able to secure a slot that is convenient for your time?,What are the reasons that your slot is inconvenient for you?,"What schedule of WRP should be opened with more slots? 

(Select at most 3.)
",There should be a walk-in session (Community Dance Fitness) in the afternoon.,The one fixed booking per week is not enough for me to comply with the minimum-hour requirement.,The WRP booking system is accessible.,Walk-in sessions are more reliable than scheduling an appointment through Power Apps.,"There are enough WRP considerations offered for students with disabilities (physical, mental, etc.)",The WRP time slot I enrolled does not reflect on the student central.,The new policies and guidelines of WRP for the Academic Year 2023-2024 consider the welfare of the students from all year levels.,"On a scale of 1 to 10, how satisfied are you with the overall procedures and new system of the Wellness and Recreation Program?","Please put any other concerns, suggestions, and recommendations you may have in relation to the new guidelines released about the Wellness and Recreation Program that is not stated in this survey."
691,8/16/23 23:50:06,8/16/23 23:54:00,,Yes,3rd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Nursing,,,No,Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Limited Slots of Other Schedules;Lack of Information (Unclear Guidelines/Instructions);,Tuesday 10:30 AM - 12:00 PM;Friday 10:30 AM - 12:00 PM;Friday 12:00 PM - 1:30 PM;,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Disagree,1,3 times a week WRP schedule in any time should be allowed.
692,8/16/23 23:42:30,8/16/23 23:54:14,,Yes,1st Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;Conflicting Schedule;,Friday 12:00 PM - 1:30 PM;Friday 10:30 AM - 12:00 PM;Thursday 1:30 PM - 3:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly disagree,4,"The fixed schedule of the WRP would only be efficient if there would be more allotted schedules per student and a much more accessible time for the CDF sessions. There should still be at least 3x session per week for the students to be able to finish the 21 hours before the semesters ends. 

If the department is not willing to change the once a week schedule, it is not wrong for the students to demand a lesser hours needed to comply for the WRP subject. It would not be possible to complete the 21 hours with the current system; and even if, making the students line up early in the morning for the CDF does not really promote the ""wellness"" being said in the subject. It only causes student to sacrifice their supposedly resting hours within their hectic schedules for the day. "
693,8/16/23 23:47:51,8/16/23 23:54:34,,Yes,2nd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Nursing,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);,Friday 1:30 PM - 3:00 PM;Friday 3:00 PM - 4:30 PM;Saturday 12:00 PM - 1:30 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,1,"Program specific uniforms such as RLE, White uniform, and Formal should be allowed at WRP activities that are non-physical such as board games, music, arts & craft, etc. to lessen the burden to those students."
694,8/16/23 23:49:19,8/16/23 23:54:35,,Yes,2nd Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;Long vacant and hassle commute time;,Tuesday 3:00 PM - 4:30 PM;Tuesday 4:30 PM - 6:00 PM;Friday 3:00 PM - 4:30 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,1,Release guidelines ahead of time to avoid hassles on the students' end. Lessen the amount of hours needed in this semester due to the late and unclear instructions of the department.
695,8/16/23 23:51:19,8/16/23 23:54:35,,Yes,3rd Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Internal Auditing,,,,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;Conflicting Schedule;,Wednesday 10:30 AM - 12:00 PM;Wednesday 12:00 PM - 1:30 PM;Wednesday 1:30 PM - 3:00 PM;,Agree,Strongly Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,1,None
696,8/16/23 23:49:36,8/16/23 23:54:46,,Yes,4th Year,Institute of Arts and Sciences,,,Bachelor of Arts in Political Science (Philippine Politics and Foreign Relations Track),,,,,No,Yes,2018 curriculum (WRP01XX),No,Conflicting Schedule;,Monday 10:30 AM - 12:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly disagree,1,"Bring back the old system, where we can book 3 WRP sessions per week. This new system is worse than the already rotten previous WRP system."
697,8/16/23 23:50:20,8/16/23 23:54:49,,Yes,3rd Year,Institute of Arts and Sciences,,,Bachelor of Arts in Communication (Digital Cinema Track),,,,,No,Yes,2021 curriculum (WRP02XX),Yes,,Tuesday 10:30 AM - 12:00 PM;,Agree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,1,"Isn't WRP was created to create an alternative to PE so that students can have their chosen activity with their availability. If the WRP department only give us one registered session for week, it's like forcing us students to join the Community Dance Fitness even though some of us live faraway and have evening classes so it will be difficult for us to attend. Afternoon sessions were added but only for wednesday and friday, meaning we cannot attend too since we have classes during that time. The new WRP system is more problematic than before."
698,8/16/23 23:51:11,8/16/23 23:55:03,,Yes,4th Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Internal Auditing,,,,,,,No,Yes,2018 curriculum (WRP01XX),No,Limited Slots of Other Schedules;Conflicting Schedule;,Monday 3:00 PM - 4:30 PM;Friday 6:00 PM - 7:30 PM;,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,1,WRPis not good for our mental health. such a disappointment. 
699,8/16/23 23:48:38,8/16/23 23:55:13,,Yes,3rd Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,Employed (Part-time),Yes,2021 curriculum (WRP02XX),Yes,,Wednesday 3:00 PM - 4:30 PM;Monday 12:00 PM - 1:30 PM;Tuesday 10:30 AM - 12:00 PM;,Strongly Agree,Agree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,4,"The new system for WRP (fixed scheduling) is not clear enough, even with the Canvas announcement posts. All the information on clarifying new procedures have only been disseminated through informal means such as facebook posts, word of mouth, and the like, while the WRP department themselves have yet to post clear instructions on the new system."
700,8/16/23 23:45:33,8/16/23 23:55:22,,Yes,4th Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Business Administration (Financial Management Track),,,,,,,Employed (Part-time),Yes,2018 curriculum (WRP01XX),No,Lack of Information (Unclear Guidelines/Instructions);Conflicting Schedule;,Tuesday 12:00 PM - 1:30 PM;Friday 12:00 PM - 1:30 PM;Saturday 9:00 AM - 10:30 AM;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,1,"-Students should be allowed to book at least a minimum of 3 times a week and a maximum of 5 sessions
- Community Dance Fitness in the morning should not be limited to 120 students (probably 200)
- Lessen the required number of hours for 3rd year to 5th year students
- Booking systems should have ""cancel"" options or button
- The department should provide clear guidelines, instructions, and changes prior to enrollment"
701,8/16/23 23:52:38,8/16/23 23:55:24,,Yes,1st Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,No,Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Tuesday 7:30 AM - 9:00 AM;Wednesday 7:30 AM - 9:00 AM;Saturday 7:30 AM - 9:00 AM;,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,1,"please tanggalin na to sa mga ate and kuya namin (3rd and 4th yr) then bawasan ang required hours!!!! as someone na commuter, ang hirap hirap hirap HIRAP BUMYAHE FOR CDF NG MORNING!!!!!!"
702,8/16/23 23:39:48,8/16/23 23:55:33,,Yes,2nd Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,Employed (Part-time),Yes,2021 curriculum (WRP02XX),No,Limited Slots of Other Schedules;Lack of Information (Unclear Guidelines/Instructions);Conflicting Schedule;,Monday 10:30 AM - 12:00 PM;Thursday 10:30 AM - 12:00 PM;Wednesday 10:30 AM - 12:00 PM;,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,1,"suggestions/concerns

1. CDF should have mornings and afternoon it can be MONDAY, WEDNESDAY AND FRIDAY if this is implemented. If not, CDF should be everyday only in mornings like last semester. 
2. IMPROVE POWERAPPS. Just improve powerapps instead. Bring back the booking thrice a week. 
3. It is impossible most of us to reach 27 hours this semester if 1 booking per week and the rest CDF to fill the hours. Not all of us are free all the time (especially in the time slot we enrolled) in the morning to join CDF. There are students who do not have dorm and they just commute. You cannot expect them (us) to leave home early just to join 6:30 pre-registration for CDF. That’s exhausting.
4. The enrolled time slot we have can be the time/date we can book in powerapps . But of course, 3 times a week per booking."
703,8/16/23 23:41:12,8/16/23 23:55:43,,Yes,3rd Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,Employed (Full-time),Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Thursday 3:00 PM - 4:30 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,1,"To be fair, the implementation of a fixed schedule for WRP can be a relief for most students to lessen the frustrations that us, students, face during the previous semesters, such as conflicts in scheduling and booking. But, the WRP department  didn’t execute this well. This was announced after the enrollment period, which most of students, especially us working students, thought that is was just a dummy schedule. Ever since, WRP has been a pain to think about, because of the system that we have on previous semesters, and now this, WRP has to be so inconvenient for us. The complicated and not-so-confirmed guidelines makes us overthink even more. Last, if this is the final implementation of the WRP department, can they at least lower the required hours for physical activities to avoid failure for this subject. Attending once a week is not applicable for some students and CDF walk-ins in the morning is just not practical because not all of us live near campus, and most of us are WORKING STUDENTS. "
704,8/16/23 23:36:37,8/16/23 23:55:45,,Yes,3rd Year,Institute of Tourism and Hotel Management,,,,,,Bachelor of Science in Tourism Management (Travel and Tours Management Track),,Employed (Part-time),Yes,2021 curriculum (WRP02XX),No,"Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;The new implementation of WRP has an advatange if you will be taking CDF activities, however, due to being far from the university, the disadvantage are for those who are living outside Manila.;",Monday 6:00 PM - 7:30 PM ;Wednesday 4:30 PM - 6:00 PM;Friday 4:30 PM - 6:00 PM;,Agree,Strongly Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,3,"The Wellness and Recreation Programs (WRP) aims for students to have a progressive healthy living through activities. However, these are some of factors why WRP does not any of help to their recipients: 

1. No considerations to the safety and protection of the students. Some tamaraws, including me, won’t be able to join in a 6:30am CDF activities due to; (1) location, (2) time, and (3) slots. Thus, the implementation of WRP regulations is inaccessible for MOST of the students.

2. Chaotic system. Even most of the student-leaders, whom shall we can asked for an information that is not clear for us, doesn’t even get what will happen and how will it be implemented."
705,8/16/23 23:53:26,8/16/23 23:56:21,,Yes,4th Year,Institute of Tourism and Hotel Management,,,,,,Bachelor of Science in Tourism Management (Travel and Tours Management Track),,No,Yes,2018 curriculum (WRP01XX),No,Conflicting Schedule;Limited Slots of Other Schedules;Lack of Information (Unclear Guidelines/Instructions);,Friday 12:00 PM - 1:30 PM;Saturday 9:00 AM - 10:30 AM;Friday 1:30 PM - 3:00 PM;,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,1,none
706,8/16/23 23:53:34,8/16/23 23:56:25,,Yes,2nd Year,Institute of Tourism and Hotel Management,,,,,,Bachelor of Science in Tourism Management (Travel and Tours Management Track),,Employed (Full-time),Yes,2021 curriculum (WRP02XX),No,Limited Slots of Other Schedules;,Friday 3:00 PM - 4:30 PM;Monday 9:00 AM - 10:30 AM;,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,1,NA
707,8/16/23 23:54:11,8/16/23 23:56:41,,Yes,4th Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,No,Yes,2018 curriculum (WRP01XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);,Tuesday 12:00 PM - 1:30 PM;Tuesday 1:30 PM - 3:00 PM;Tuesday 3:00 PM - 4:30 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Disagree,Disagree,Strongly disagree,1,They should've fixed the system thru powerapps first and announce the new guidelines before implementing it. 
708,8/16/23 23:45:43,8/16/23 23:57:01,,Yes,2nd Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Business Administration (Financial Management Track),,,,,,,No,Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);,Saturday 10:30 AM - 12:00 PM;Wednesday 1:30 PM - 3:00 PM;Wednesday 12:00 PM - 1:30 PM;,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly disagree,3,Reduce the required hours to pass wrp
709,8/16/23 23:51:18,8/16/23 23:57:11,,Yes,2nd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Nursing,,,No,Yes,2021 curriculum (WRP02XX),Yes,,Thursday 10:30 AM - 12:00 PM;Friday 7:30 AM - 9:00 AM;Thursday 7:30 AM - 9:00 AM;,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Disagree,1,Very limited slot for online booking. we have no choice to attend morning CDF which is not that convenient for everyone.
710,8/16/23 23:49:19,8/16/23 23:57:22,,Yes,2nd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Nursing,,,No,Yes,2021 curriculum (WRP02XX),No,Kala ko dummy schedule lang. So nilagay ko siya sa pinaka dulo.;,Monday 1:30 PM - 3:00 PM ;Tuesday 10:30 AM - 12:00 PM;Wednesday 10:30 AM - 12:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,4,"Thanks for trying to change the system. Pero may flaws pa rin na hindi na-foresee bago siya i-officially implement. Such as for nursing students dapat well groomed kami sa mga major subjects namin. In my case, mine starts at 7:30AM. So if I were to attend CDF in the morning, haggard na ang beshy niyo after! </3"
711,8/16/23 23:53:04,8/16/23 23:57:29,,Yes,3rd Year,Institute of Arts and Sciences,,,Bachelor of Arts in Political Science (Philippine Politics and Foreign Relations Track),,,,,Employed (Part-time),Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);,Monday 4:30 PM - 6:00 PM;,Agree,Strongly Agree,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,1,"The system last semester is bearable. A student can attend and book 3 sessions per week but once they did not attend any session, the student should be mark as absent in this case, students who hoard booking schedule will be prevented. "
712,8/16/23 23:53:39,8/16/23 23:58:02,,Yes,3rd Year,Institute of Arts and Sciences,,,Bachelor of Science in Biology (Systematic Biology Track),,,,,Employed (Part-time),Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);,Wednesday 1:30 PM - 3:00 PM;Tuesday 3:00 PM - 4:30 PM;,Strongly Agree,Strongly Agree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,1,I hope the department will plan and think thoroughly before implementing policies regarding the WRP. I also hope that they will consider the time that wrp will consume in the student’s schedule especially the 3rd year and 4th year students.
713,8/16/23 23:53:46,8/16/23 23:58:07,,Yes,3rd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Medical Technology,,,No,Yes,2021 curriculum (WRP02XX),Yes,,Saturday 3:00 PM - 4:30 PM;Friday 3:00 PM - 4:30 PM;Friday 12:00 PM - 1:30 PM;,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,2,"Instructions regarding the new system are very unclear. Students should've been informed about these changes prior to enrollment. It's also a hassle for those who wear specific uniforms (clinical, corporate, etc.) to change if the WRP schedule is between classes."
714,8/16/23 23:53:31,8/16/23 23:58:16,,Yes,1st Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,No,Yes,2018 curriculum (WRP01XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Monday 12:00 PM - 1:30 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Disagree,Agree,Strongly disagree,5,"Bring more slots, a much more organized booking, a facilitate better on Cdf because it should have a headcount before entering the venue of cdf for a much more controlled and avoid stampede or any disaster that might be caused"
715,8/16/23 23:49:43,8/16/23 23:58:27,,Yes,4th Year,Institute of Arts and Sciences,,,Bachelor of Arts in Political Science (Philippine Politics and Foreign Relations Track),,,,,Employed (Full-time),Yes,2018 curriculum (WRP01XX),Yes,,Monday 1:30 PM - 3:00 PM ;Monday 3:00 PM - 4:30 PM;Thursday 1:30 PM - 3:00 PM;,Disagree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,1,"The new policy is not working student friendly. Imagine, asking the student to do cdf during morning or afternoon, but not considering their end shift at work. For instance me, my working sched is 10-7 am and in order for me to complete the need hours, i need to sacrifice may sleep just to dance with hot weather, that is not wellness anymore. Moreover, if you will have schedule in the afternoon, how sure that it will not overlap with our subjects.

Much better to give us the power to choose our timeslots. Or, try to update the system. Its not giving us wellness, FEU. Pinapatay nyo mga student nyo para sa lintek na WRP na yan! "
716,8/16/23 23:49:02,8/16/23 23:59:15,,Yes,4th Year,Institute of Arts and Sciences,,,Bachelor of Arts in Communication (Digital Cinema Track),,,,,No,Yes,2018 curriculum (WRP01XX),No,Lack of Information (Unclear Guidelines/Instructions);Conflicting Schedule;,Thursday 12:00 PM - 1:30 PM;Thursday 10:30 AM - 12:00 PM;,Strongly Agree,Agree,Strongly disagree,Strongly Agree,Agree,Agree,Strongly disagree,3,"1. Sana next time may assistance from the security if kulang ang tao sa wrp department to secure the slot sa cdf. Like if more then 120 students na with the count head then icutoff na siya sa baba palang para hindi na siya nagkagulo. And when it comes to pagpipirma, please tell to student to calm down since mapipirmahan naman lahat and may isang instructor ang maglilibot to give the papers to them. 

2. Please give us a more specific instruction on how we book on powerapps since nagbago na rin siya and unfamiliar na siya sa akin. Like, magbobook lang ba ako during my fixed schedule for example thursday, sa thursday lang ba ako puwede magbook or can I book advance? 

3. We will do a weekly reminder to students to attend the wrp as early as possible. We will have a posting, a reminder pubmat for them to attend and don't waste nung pinili nilang binook."
717,8/16/23 23:55:56,8/16/23 23:59:20,,Yes,3rd Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Business Administration (Financial Management Track),,,,,,,No,Yes,2018 curriculum (WRP01XX),No,Limited Slots of Other Schedules;Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);,Tuesday 1:30 PM - 3:00 PM;Monday 3:00 PM - 4:30 PM;Thursday 1:30 PM - 3:00 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly disagree,1,I believe that there's no WRP in 3rd year and 4th year students since they are taking major subjects and onsite internship
718,8/16/23 23:55:45,8/16/23 23:59:23,,Yes,3rd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Nursing,,,No,Yes,2021 curriculum (WRP02XX),No,Limited Slots of Other Schedules;Conflicting Schedule;,Saturday 4:30 PM - 6:00 PM;Saturday 3:00 PM - 4:30 PM;,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,1,n/a
719,8/16/23 23:28:42,8/16/23 23:59:46,,Yes,2nd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Medical Technology,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);,Wednesday 10:30 AM - 12:00 PM;Wednesday 9:00 AM - 10:30 AM;Saturday 10:30 AM - 12:00 PM;,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly disagree,Strongly disagree,1,"I feel like the current system would work if (1) info and guidelines were disseminated prior to enrollment, (2) students traveling from far cities were considered, (3) finalized wrp schedule is more than just once a week or, integration from the previous year wherein people can still book sessions even if it isn’t their sched. Needless to say, I feel like the major concerns that should be taken into account are proximity, year level, and guarantee that what is offered would suffice for completion. Please factor in the fact that not everyone has the privilege of living near the campus. A huge part of the student population has to leave home as early as 4am and wake up at an even earlier time to travel for something that isn’t guaranteed to be credited (due to weather or registration time). Moreover, there are unexpected events that may happen such as the common cancellation of classes or holidays that could instantly cut the number of weeks we can register if we are unable to attend cdf (i.e Monday and Friday groups that instantly lost 2 possibly registered sessions just this month). Thanks. I hope to hear updates about this in the near future. "
720,8/16/23 23:57:48,8/17/23 0:00:20,,Yes,3rd Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Internal Auditing,,,,,,,Employed (Part-time),Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Friday 1:30 PM - 3:00 PM;,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Strongly Agree,2,pakibawasan po yung hours na need ma comply sa wrp
721,8/16/23 23:51:16,8/17/23 0:00:31,,Yes,4th Year,Institute of Tourism and Hotel Management,,,,,,Bachelor of Science in Tourism Management (Travel and Tours Management Track),,No,Yes,2018 curriculum (WRP01XX),Yes,,Monday 10:30 AM - 12:00 PM;Tuesday 12:00 PM - 1:30 PM;Wednesday 12:00 PM - 1:30 PM;,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Disagree,Disagree,Disagree,3,Wrp in higher level should be remove 
722,8/16/23 23:40:32,8/17/23 0:00:35,,Yes,3rd Year,"Institute of Accounts, Business, and Finance (Manila)",Bachelor of Science in Internal Auditing,,,,,,,No,Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Friday 4:30 PM - 6:00 PM;Thursday 7:30 AM - 9:00 AM;Monday 9:00 AM - 10:30 AM;,Agree,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,1,The new system is not clear for most of the students. 
723,8/16/23 23:47:37,8/17/23 0:00:43,,Yes,4th Year,Institute of Tourism and Hotel Management,,,,,,Bachelor of Science in Tourism Management (Travel and Tours Management Track),,No,Yes,2018 curriculum (WRP01XX),No,Lack of Information (Unclear Guidelines/Instructions);,Friday 9:00 AM - 10:30 AM;,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Disagree,Disagree,Strongly disagree,1,"My concern is the fixed schedule wherein students are only allowed to book an activity appointments that is interconnected to the ones they have enrolled in on the central. Furthermore, limiting students to book only 1 activity per week on the said fixed schedule brings burden to most students, such as students who resides far away from FEU, students who has part time jobs to pay for their own tuitions. If  WRP Department will not find a good solution for this issue, I think they should just go back to the old ways of how students are able to book 3 activities per week."
724,8/16/23 23:57:52,8/17/23 0:00:54,,Yes,3rd Year,Institute of Arts and Sciences,,,Bachelor of Science in Psychology,,,,,No,Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Lack of Information (Unclear Guidelines/Instructions);,Wednesday 4:30 PM - 6:00 PM;Wednesday 3:00 PM - 4:30 PM;,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,1,"fixed schedule however, can atleast book 2 sessions per week"
725,8/16/23 23:53:02,8/17/23 0:00:55,,Yes,3rd Year,Institute of Architecture and Fine Arts,,Bachelor of Fine Arts Major in Visual Communication,,,,,,Employed (Part-time),Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Conflicting Schedule;Limited Slots of Other Schedules;,Saturday 4:30 PM - 6:00 PM;Monday 4:30 PM - 6:00 PM;Friday 4:30 PM - 6:00 PM;,Agree,Strongly Agree,Strongly disagree,Agree,Disagree,Disagree,Strongly disagree,1,"If we were to push through with the new wrp system, I think it's more achievable if the required hours would be lessened, since booking once a week wouldn't be possible for me to pass the subject. Because for me, attending cdf in the morning is less likely to happen since I commute at least an hour or two from home to school. If not, I think the old system would be a better choice and convenient, especially for working students that has time conflict and upperclassmen (3rd-5th year) that has conflicting time slots. "
726,8/16/23 23:53:58,8/17/23 0:01:05,,Yes,3rd Year,Institute of Architecture and Fine Arts,,Bachelor of Fine Arts Major in Studio Arts,,,,,,No,Yes,2021 curriculum (WRP02XX),No,Limited Slots of Other Schedules;Lack of Information (Unclear Guidelines/Instructions);,Monday 10:30 AM - 12:00 PM;Saturday 10:30 AM - 12:00 PM;Saturday 1:30 PM - 3:00 PM;,Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,1,Wrp did not give enough choices to the students. How about students with disabilities and unable to participate in CDF? There only chance is to book an activity one a week? Thats absurb. This system sucks.
727,8/16/23 23:54:29,8/17/23 0:01:35,,Yes,3rd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Nursing,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Monday 3:00 PM - 4:30 PM;Wednesday 1:30 PM - 3:00 PM;Thursday 1:30 PM - 3:00 PM;,Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,1,"WRP should not be like this. Granted that WRP is for the wellness of the students yet it fails due to numerous incompetence and failure to hear students' concerns. WRP should have straightened out the system during mid year and listened to the students suggestion of having a booking system that does not fail or crash on us and give us a cancel button feature. Moreover, they should have gave the students a heads up prior to enrolling since we have no idea what the guideline will be. We need to accomplish 20 hours but with the system of walk in cdf and ONE fixed book per week - how can we get a P without risking our wellnes? "
728,8/16/23 23:58:45,8/17/23 0:01:55,,Yes,2nd Year,Institute of Tourism and Hotel Management,,,,,,Bachelor of Science in Tourism Management (Travel and Tours Management Track),,Employed (Part-time),Yes,2021 curriculum (WRP02XX),No,Conflicting Schedule;Limited Slots of Other Schedules;,Saturday 9:00 AM - 10:30 AM;,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly disagree,Disagree,Strongly disagree,1,The wellness isn’t wellnessing
729,8/16/23 23:53:23,8/17/23 0:02:26,,Yes,2nd Year,Institute of Health Sciences and Nursing,,,,,Bachelor of Science in Medical Technology,,,No,Yes,2021 curriculum (WRP02XX),No,Limited Slots of Other Schedules;Lack of Information (Unclear Guidelines/Instructions);Conflicting Schedule;,Wednesday 9:00 AM - 10:30 AM;Tuesday 9:00 AM - 10:30 AM;Saturday 10:30 AM - 12:00 PM;,Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,2,"Having only one maximum reservation per week and with the same time slot indicated in the COR is not effective. We are not informed earlier that this will be the new guidelines for the WRP thus, we selected a schedule in knowing that the schedule indicated is just a dummy schedule. With this, it means we are forced to show up on the time indicated in the COR because of the new policy in which is not informed before enrollment. I will be better if the time allotted in the schedule is the time for our booking so that the site will not crash due to the max accommodation it can have. So, it will be best that we have more slot to reserve base on the time that we are free. "
730,8/16/23 23:55:27,8/17/23 0:02:53,,Yes,1st Year,Institute of Education,,,,Bachelor of Special Needs Education,,,,No,Yes,2021 curriculum (WRP02XX),No,Lack of Information (Unclear Guidelines/Instructions);Limited Slots of Other Schedules;,Wednesday 1:30 PM - 3:00 PM;Wednesday 4:30 PM - 6:00 PM;Saturday 3:00 PM - 4:30 PM;,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly disagree,Disagree,6,none
